Name,CMP,PE,Market Cap,Dividend Yield,Net Profit Last Quarter,Quaterly Profit Growth,Sales Latest Quarter,Quaterly Sales Growth,Return on Campital Employment
Star Housing Fin,37.75,26.29,298.09,0.20,3.06,47.83,21.91,60.28,11.11
Paul Merchants,927.85,5.12,286.15,0.00,16.10,9.08,1037.80,-43.57,12.33
Mangal Credit,144.20,22.71,282.11,0.42,3.22,22.43,11.66,53.42,10.35
Capital Trade Lk,43.82,28.76,282.11,0.00,0.12,-90.91,5.55,-37.92,15.62
Sera Investments,41.48,16.17,269.62,0.24,2.19,-59.89,2.86,104.29,28.60
Starteck Fin.,269.70,23.24,267.28,0.09,3.59,-51.62,8.43,-31.63,7.90
Regis Industries,150.95,,259.75,0.00,0.05,105.75,4.06,-27.50,-4.04
Usha Financial,119.35,19.45,259.44,0.00,5.04,,26.51,,15.36
Delphi World,284.00,30.07,316.03,0.00,0.17,-95.64,13.34,-37.13,11.48
ARC Finance,2.80,39.64,254.49,0.00,3.38,1590.00,12.37,2477.08,0.69
TruCap Finance,21.10,21.39,246.66,0.05,1.21,-19.87,57.56,35.47,11.73
Jhaveri Credits,273.85,65.80,246.08,0.00,1.40,311.76,5.59,2330.43,5.32
Aryaman Capital,204.75,25.39,245.23,0.00,5.94,,24.31,25.96,14.32
Maha Rashtra Apx,144.68,0.59,204.72,0.00,-7.97,-667.76,0.48,-34.25,119.79
Guj. State Fin.,22.97,,204.69,0.00,-31.45,3.58,0.34,-64.95,
Capital Trust,115.37,93.00,196.24,0.00,0.23,-54.90,24.90,30.98,8.16
Purple Finance,43.75,,196.09,0.00,-5.57,-121.91,2.70,37.06,-26.52
Smartlink Hold.,196.43,25.45,195.94,0.00,0.67,-19.28,58.57,13.03,5.04
Std. Capital Mkt,1.11,17.93,192.03,0.00,1.75,,8.04,,
Ganges Securitie,191.05,33.59,191.12,0.00,7.22,8.25,15.16,13.73,1.18
Beacon,105.15,36.81,189.95,0.00,424.41,,1325.60,11152.97,42.62
Regency Fincorp,39.27,71.87,188.30,0.00,0.80,90.48,4.01,1.26,9.69
Haryana Capfin,340.35,35.11,177.32,0.00,4.51,93.56,6.16,90.12,1.30
Coral India Fin.,51.57,9.11,207.84,0.78,5.66,24.40,6.52,-20.97,14.16
Baid Finserv,14.73,18.10,176.86,0.68,1.96,-23.44,19.65,30.91,11.21
KIFS Financial,161.30,24.04,174.53,0.87,1.51,10.22,8.39,5.93,14.86
Keynote Finan.,246.30,5.62,172.90,0.41,8.71,58.65,11.28,32.39,31.71
Indian Infotech,1.34,83.23,169.78,0.00,4.63,19.64,11.65,92.56,0.92
NCC,280.00,20.61,17579.70,0.79,174.79,110.71,5195.98,10.09,22.10
National Standar,4291.05,517.62,8582.10,0.00,4.80,71.43,3.80,630.77,7.92
Mahindra Life.,472.60,60.98,7328.45,0.56,-14.01,25.99,7.61,-57.18,2.01
Man Infra,172.53,23.81,6421.36,0.94,47.25,-31.60,230.32,6.98,29.39
Arkade,132.63,20.05,2462.46,0.00,43.36,-9.38,201.65,-4.41,45.21
PSP Projects,617.75,26.28,2448.87,0.00,11.15,-71.71,578.09,-4.79,19.08
Elpro Internatio,107.85,14.33,1827.83,0.65,32.22,76.74,207.42,488.09,7.85
B.L.Kashyap,72.40,29.24,1632.19,0.00,9.38,-21.77,267.28,-18.17,14.29
JP Associates,6.60,,1620.03,0.00,-297.83,2.67,1373.67,-27.53,3.15
Vascon Engineers,52.65,22.53,1178.50,0.47,10.31,-59.85,199.80,25.49,8.27
NIIT,182.90,53.19,2477.41,0.68,12.14,21.63,90.71,11.42,4.64
BEML Land Assets,224.71,,935.79,0.00,-0.77,-37.50,0.00,,-47.06
RDB Realty,468.65,41.17,809.83,0.00,12.00,49.29,60.86,-9.52,5.29
Parsvnath Devl.,17.88,,778.10,0.00,-128.03,-70.31,47.05,-58.53,-5.25
Garuda Cons,82.94,21.18,771.69,0.00,10.25,99.42,46.75,121.98,49.19
RBM Infracon,737.30,39.52,744.89,0.00,6.61,389.63,64.52,220.04,28.66
