Name,CMP,PE,Market Cap,Dividend Yield,Net Profit Last Quarter,Quaterly Profit Growth,Sales Latest Quarter,Quaterly Sales Growth,Return on Campital Employment
Sahasra Electro.,905.75,69.38,2263.72,0.0,312.8998455949137,88.78577903682718,2952.34659400545,54.603034351145034,65.05
Doms Industries,2687.3,87.83,16308.48,0.09,53.68,42.54,457.77,19.71,30.67
Centum Electron,1636.1,67.2921923474664,2110.05,0.37,-0.31,93.2,259.83,4.68,10.11
Kernex Microsys.,867.5,67.2921923474664,1453.88,0.0,6.82,254.65,41.22,2823.4,-21.09
Zomato Ltd,269.66,321.13,238280.8,0.0,176.0,388.89,4799.0,68.5,1.14
Info Edg.(India),7768.2,208.13,100663.54,0.28,84.74,-91.06,700.82,11.98,3.65
One 97,769.1,67.2921923474664,48971.11,0.0,930.0,-42.26,1659.5,-34.11,-8.5
FSN E-Commerce,171.05,1142.3,48890.31,0.0,12.97,71.62,1874.74,24.4,6.87
Swiggy,430.7,67.2921923474664,96409.93,0.0,-611.01,-6.13,3222.22,34.83,-24.39
TBO Tek,1567.55,78.01,17021.68,0.0,60.09,8.0,450.69,27.92,42.93
Indiamart Inter.,2284.15,31.82,13700.14,0.88,135.1,94.67,347.7,17.98,23.93
Just Dial,1081.35,29.52,9195.83,0.0,154.07,390.04,284.83,9.29,4.81
Le Travenues,144.48,90.92,5609.67,0.0,13.09,513.91,206.47,25.96,6.53
MSTC,582.7,22.59,4102.21,2.66,56.39,-6.85,71.92,-11.35,34.65
Easy Trip Plann.,30.1,30.3,5333.84,0.33,27.8,-45.98,103.3,-14.06,43.36
Yatra Online,110.93,96.81,1740.67,0.0,7.3,142.62,236.4,151.14,3.54
Creative Newtech,899.5,23.41,1269.53,0.06,13.22,26.39,411.42,-4.28,27.01
Vasa Denticity,618.15,56.28,990.04,0.0,8.79,43.97,111.84,47.59,44.98
Macfos,1026.55,55.91,966.68,0.0,6.28,214.0,89.87,232.36,14.042809917355372
Hind.Aeronautics,4087.05,32.28,273331.69,0.86,1490.36,20.3,5976.55,6.05,38.88
Bharat Electron,280.95,45.24,205368.24,0.78,1092.78,38.4,4604.9,14.86,34.61
Solar Industries,10008.55,89.61,90567.42,0.08,303.78,42.84,1715.83,27.34,32.47
Bharat Dynamics,989.55,65.53,36273.19,0.53,122.53,-16.7,544.77,-11.54,24.23
Cochin Shipyard,1312.4,38.94,34526.72,0.74,193.07,1.08,1096.98,14.96,21.62
Garden Reach Sh.,1406.4,41.87,16110.59,0.67,97.77,21.09,1152.92,28.4,27.37
Zen Technologies,1766.95,78.73,15953.85,0.06,63.44,359.46,241.84,263.67,46.11
